age,gender,country,state,is_self_employed,family_history,treatment,work_interfere,num_employees,remote_work,is_tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_conseq,physical_health_conseq,coworkers,supervisor,mental_health_interview,physical_health_interview,mental_vs_physical,observed_consequence,age_group,continent,country_grouped
37,Female,United States,IL,Unknown,No,Yes,Often,6-25,No,Yes,Yes,Unknown,No,Yes,Yes,1,No,No,Unsure,Yes,No,Unsure,Yes,No,35-44,North America,United States
44,Male,United States,IN,Unknown,No,No,Rarely,More than 1000,No,No,Unknown,No,Unknown,Unknown,Unknown,4,Unsure,No,No,No,No,No,Unknown,No,35-44,North America,United States
32,Male,Canada,UNKNOWN,Unknown,No,No,Rarely,6-25,No,Yes,No,No,No,No,Unknown,2,No,No,Yes,Yes,Yes,Yes,No,No,25-34,North America,Canada
31,Male,United Kingdom,UNKNOWN,Unknown,Yes,Yes,Often,26-100,No,Yes,No,Yes,No,No,No,2,Yes,Yes,Unsure,No,Unsure,Unsure,No,Yes,25-34,Europe,United Kingdom
31,Male,United States,TX,Unknown,No,No,Never,100-500,Yes,Yes,Yes,No,Unknown,Unknown,Unknown,4,No,No,Unsure,Yes,Yes,Yes,Unknown,No,25-34,North America,United States
33,Male,United States,TN,Unknown,Yes,No,Sometimes,6-25,No,Yes,Yes,Unknown,No,Unknown,Unknown,4,No,No,Yes,Yes,No,Unsure,Unknown,No,25-34,North America,United States
35,Female,United States,MI,Unknown,Yes,Yes,Sometimes,1-5,Yes,Yes,No,No,No,No,No,2,Unsure,Unsure,Unsure,No,No,No,Unknown,No,35-44,North America,United States
39,Male,Canada,UNKNOWN,Unknown,No,No,Never,1-5,Yes,Yes,No,Yes,No,No,Yes,4,No,No,No,No,No,No,No,No,35-44,North America,Canada
42,Female,United States,IL,Unknown,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,3,Unsure,No,Yes,Yes,No,Unsure,No,No,35-44,North America,United States
23,Male,Canada,UNKNOWN,Unknown,No,No,Never,26-100,No,Yes,Unknown,No,Unknown,Unknown,Unknown,4,No,No,Yes,Yes,Unsure,Unsure,Yes,No,18-24,North America,Canada
31,Male,United States,OH,Unknown,No,Yes,Sometimes,6-25,Yes,Yes,Unknown,No,No,No,Unknown,4,No,No,Unsure,Yes,No,No,Unknown,No,25-34,North America,United States
29,Male,Bulgaria,UNKNOWN,Unknown,No,No,Never,100-500,Yes,Yes,Unknown,Unknown,No,No,Unknown,4,No,No,Yes,Yes,Yes,Yes,Unknown,No,25-34,Europe,Other
42,Female,United States,CA,Unknown,Yes,Yes,Sometimes,26-100,No,No,Yes,Yes,No,No,Unknown,2,Yes,Yes,Yes,Yes,Unsure,Unsure,No,Yes,35-44,North America,United States
36,Male,United States,CT,Unknown,Yes,No,Never,500-1000,No,Yes,Unknown,Unknown,No,Unknown,Unknown,4,No,No,Yes,Yes,No,No,Unknown,No,35-44,North America,United States
27,Male,Canada,UNKNOWN,Unknown,No,No,Never,6-25,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,1,No,No,Unsure,Unsure,Unsure,Yes,Yes,No,25-34,North America,Canada
29,Female,United States,IL,Unknown,Yes,Yes,Rarely,26-100,No,Yes,Yes,Unknown,No,No,Unknown,1,No,No,Yes,Unsure,Unsure,Unsure,Unknown,No,25-34,North America,United States
23,Male,United Kingdom,UNKNOWN,Unknown,No,Yes,Sometimes,26-100,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,0,Unsure,No,Unsure,No,Unsure,Unsure,No,No,18-24,Europe,United Kingdom
32,Male,United States,TN,Unknown,No,Yes,Sometimes,6-25,No,Yes,Yes,Yes,No,Unknown,Unknown,4,Unsure,No,Unsure,Yes,No,No,No,No,25-34,North America,United States
46,Male,United States,MD,Yes,Yes,No,Sometimes,1-5,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,0,No,No,Yes,Yes,No,Yes,Yes,Yes,45-54,North America,United States
36,Male,France,UNKNOWN,Yes,Yes,No,Unknown,6-25,Yes,Yes,No,No,Yes,No,Yes,1,No,No,Unsure,Unsure,Unsure,Unsure,Unknown,No,35-44,Europe,France
29,Male,United States,NY,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,2,Unsure,No,Unsure,Unsure,No,No,No,No,25-34,North America,United States
31,Male,United States,NC,Yes,No,No,Never,1-5,Yes,Yes,No,No,No,No,Yes,2,No,No,Unsure,Unsure,No,Unsure,Yes,No,25-34,North America,United States
